cod_ibge,nome,nome_normalizado,uf,cod_uf,regiao,mesorregiao,microrregiao
5200050,Abadia de Goiás,ABADIA DE GOIAS,GO,52,Centro-Oeste,Centro Goiano,Goiânia
3100104,Abadia dos Dourados,ABADIA DOS DOURADOS,MG,31,Sudeste,Triângulo Mineiro/Alto Paranaíba,Patrocínio
5200100,Abadiânia,ABADIANIA,GO,52,Centro-Oeste,Leste Goiano,Entorno de Brasília
3100203,Abaeté,ABAETE,MG,31,Sudeste,Central Mineira,Três Marias
1500107,Abaetetuba,ABAETETUBA,PA,15,Norte,Nordeste Paraense,Cametá
2300101,Abaiara,ABAIARA,CE,23,Nordeste,Sul Cearense,Brejo Santo
2900108,Abaíra,ABAIRA,BA,29,Nordeste,Centro Sul Baiano,Seabra
2900207,Abaré,ABARE,BA,29,Nordeste,Vale São-Franciscano da Bahia,Paulo Afonso
4100103,Abatiá,ABATIA,PR,41,Sul,Norte Pioneiro Paranaense,Cornélio Procópio
4200051,Abdon Batista,ABDON BATISTA,SC,42,Sul,Serrana,Curitibanos
1500131,Abel Figueiredo,ABEL FIGUEIREDO,PA,15,Norte,Sudeste Paraense,Paragominas
4200101,Abelardo Luz,ABELARDO LUZ,SC,42,Sul,Oeste Catarinense,Xanxerê
3100302,Abre Campo,ABRE CAMPO,MG,31,Sudeste,Zona da Mata,Manhuaçu
2600054,Abreu e Lima,ABREU E LIMA,PE,26,Nordeste,Metropolitana de Recife,Recife
1700251,Abreulândia,ABREULANDIA,TO,17,Norte,Ocidental do Tocantins,Miracema do Tocantins
3100401,Acaiaca,ACAIACA,MG,31,Sudeste,Zona da Mata,Ponte Nova
2100055,Açailândia,ACAILANDIA,MA,21,Nordeste,Oeste Maranhense,Imperatriz
2900306,Acajutiba,ACAJUTIBA,BA,29,Nordeste,Nordeste Baiano,Alagoinhas
1500206,Acará,ACARA,PA,15,Norte,Nordeste Paraense,Tomé-Açu
2300150,Acarape,ACARAPE,CE,23,Nordeste,Norte Cearense,Baturité
2300200,Acaraú,ACARAU,CE,23,Nordeste,Noroeste Cearense,Litoral de Camocim e Acaraú
2400109,Acari,ACARI,RN,24,Nordeste,Central Potiguar,Seridó Oriental
2200053,Acauã,ACAUA,PI,22,Nordeste,Sudeste Piauiense,Alto Médio Canindé
4300034,Aceguá,ACEGUA,RS,43,Sul,Sudoeste Rio-grandense,Campanha Meridional
2300309,Acopiara,ACOPIARA,CE,23,Nordeste,Sertões Cearenses,Sertão de Senador Pompeu
5100102,Acorizal,ACORIZAL,MT,51,Centro-Oeste,Centro-Sul Mato-grossense,Rosário Oeste
1200013,Acrelândia,ACRELANDIA,AC,12,Norte,Vale do Acre,Rio Branco
5200134,Acreúna,ACREUNA,GO,52,Centro-Oeste,Sul Goiano,Vale do Rio dos Bois
3100500,Açucena,ACUCENA,MG,31,Sudeste,Vale do Rio Doce,Ipatinga
3500105,Adamantina,ADAMANTINA,SP,35,Sudeste,Presidente Prudente,Adamantina
5200159,Adelândia,ADELANDIA,GO,52,Centro-Oeste,Centro Goiano,Anicuns
3500204,Adolfo,ADOLFO,SP,35,Sudeste,São José do Rio Preto,São José do Rio Preto
4100202,Adrianópolis,ADRIANOPOLIS,PR,41,Sul,Metropolitana de Curitiba,Cerro Azul
2900355,Adustina,ADUSTINA,BA,29,Nordeste,Nordeste Baiano,Ribeira do Pombal
2600104,Afogados da Ingazeira,AFOGADOS DA INGAZEIRA,PE,26,Nordeste,Sertão Pernambucano,Pajeú
2400307,Afonso Bezerra,AFONSO BEZERRA,RN,24,Nordeste,Central Potiguar,Angicos
3200102,Afonso Cláudio,AFONSO CLAUDIO,ES,32,Sudeste,Central Espírito-santense,Afonso Cláudio
2100105,Afonso Cunha,AFONSO CUNHA,MA,21,Nordeste,Leste Maranhense,Coelho Neto
2600203,Afrânio,AFRANIO,PE,26,Nordeste,São Francisco Pernambucano,Petrolina
1500305,Afuá,AFUA,PA,15,Norte,Marajó,Furos de Breves
2600302,Agrestina,AGRESTINA,PE,26,Nordeste,Agreste Pernambucano,Brejo Pernambucano
2200103,Agricolândia,AGRICOLANDIA,PI,22,Nordeste,Centro-Norte Piauiense,Médio Parnaíba Piauiense
4200200,Agrolândia,AGROLANDIA,SC,42,Sul,Vale do Itajaí,Ituporanga
4200309,Agronômica,AGRONOMICA,SC,42,Sul,Vale do Itajaí,Rio do Sul
1500347,Água Azul do Norte,AGUA AZUL DO NORTE,PA,15,Norte,Sudeste Paraense,Parauapebas
3100609,Água Boa,AGUA BOA,MG,31,Sudeste,Vale do Rio Doce,Peçanha
5100201,Água Boa,AGUA BOA,MT,51,Centro-Oeste,Nordeste Mato-grossense,Canarana
2700102,Água Branca,AGUA BRANCA,AL,27,Nordeste,Sertão Alagoano,Serrana do Sertão Alagoano
2200202,Água Branca,AGUA BRANCA,PI,22,Nordeste,Centro-Norte Piauiense,Médio Parnaíba Piauiense
2500106,Água Branca,AGUA BRANCA,PB,25,Nordeste,Sertão Paraibano,Serra do Teixeira
5000203,Água Clara,AGUA CLARA,MS,50,Centro-Oeste,Leste de Mato Grosso do Sul,Três Lagoas
3100708,Água Comprida,AGUA COMPRIDA,MG,31,Sudeste,Triângulo Mineiro/Alto Paranaíba,Uberaba
4200408,Água Doce,AGUA DOCE,SC,42,Sul,Oeste Catarinense,Joaçaba
2100154,Água Doce do Maranhão,AGUA DOCE DO MARANHAO,MA,21,Nordeste,Leste Maranhense,Baixo Parnaíba Maranhense
3200169,Água Doce do Norte,AGUA DOCE DO NORTE,ES,32,Sudeste,Noroeste Espírito-santense,Barra de São Francisco
2900405,Água Fria,AGUA FRIA,BA,29,Nordeste,Centro Norte Baiano,Feira de Santana
5200175,Água Fria de Goiás,AGUA FRIA DE GOIAS,GO,52,Centro-Oeste,Leste Goiano,Entorno de Brasília
5200209,Água Limpa,AGUA LIMPA,GO,52,Centro-Oeste,Sul Goiano,Meia Ponte
2400406,Água Nova,AGUA NOVA,RN,24,Nordeste,Oeste Potiguar,Serra de São Miguel
2600401,Água Preta,AGUA PRETA,PE,26,Nordeste,Mata Pernambucana,Mata Meridional Pernambucana
4300059,Água Santa,AGUA SANTA,RS,43,Sul,Noroeste Rio-grandense,Passo Fundo
3500303,Aguaí,AGUAI,SP,35,Sudeste,Campinas,Pirassununga
3100807,Aguanil,AGUANIL,MG,31,Sudeste,Oeste de Minas,Campo Belo
2600500,Águas Belas,AGUAS BELAS,PE,26,Nordeste,Agreste Pernambucano,Vale do Ipanema
3500402,Águas da Prata,AGUAS DA PRATA,SP,35,Sudeste,Campinas,São João da Boa Vista
4200507,Águas de Chapecó,AGUAS DE CHAPECO,SC,42,Sul,Oeste Catarinense,Chapecó
3500501,Águas de Lindóia,AGUAS DE LINDOIA,SP,35,Sudeste,Campinas,Amparo
3500550,Águas de Santa Bárbara,AGUAS DE SANTA BARBARA,SP,35,Sudeste,Bauru,Avaré
3500600,Águas de São Pedro,AGUAS DE SAO PEDRO,SP,35,Sudeste,Piracicaba,Piracicaba
3100906,Águas Formosas,AGUAS FORMOSAS,MG,31,Sudeste,Vale do Mucuri,Nanuque
4200556,Águas Frias,AGUAS FRIAS,SC,42,Sul,Oeste Catarinense,Chapecó
5200258,Águas Lindas de Goiás,AGUAS LINDAS DE GOIAS,GO,52,Centro-Oeste,Leste Goiano,Entorno de Brasília
4200606,Águas Mornas,AGUAS MORNAS,SC,42,Sul,Grande Florianópolis,Tabuleiro
3101003,Águas Vermelhas,AGUAS VERMELHAS,MG,31,Sudeste,Norte de Minas,Salinas
4300109,Agudo,AGUDO,RS,43,Sul,Centro Ocidental Rio-grandense,Restinga Seca
3500709,Agudos,AGUDOS,SP,35,Sudeste,Bauru,Bauru
4100301,Agudos do Sul,AGUDOS DO SUL,PR,41,Sul,Metropolitana de Curitiba,Rio Negro
3200136,Águia Branca,AGUIA BRANCA,ES,32,Sudeste,Noroeste Espírito-santense,Nova Venécia
2500205,Aguiar,AGUIAR,PB,25,Nordeste,Sertão Paraibano,Piancó
1700301,Aguiarnópolis,AGUIARNOPOLIS,TO,17,Norte,Ocidental do Tocantins,Bico do Papagaio
3101102,Aimorés,AIMORES,MG,31,Sudeste,Vale do Rio Doce,Aimorés
2900603,Aiquara,AIQUARA,BA,29,Nordeste,Centro Sul Baiano,Jequié
2300408,Aiuaba,AIUABA,CE,23,Nordeste,Sertões Cearenses,Sertão de Inhamuns
3101201,Aiuruoca,AIURUOCA,MG,31,Sudeste,Sul/Sudoeste de Minas,Andrelândia
4300208,Ajuricaba,AJURICABA,RS,43,Sul,Noroeste Rio-grandense,Ijuí
3101300,Alagoa,ALAGOA,MG,31,Sudeste,Sul/Sudoeste de Minas,São Lourenço
2500304,Alagoa Grande,ALAGOA GRANDE,PB,25,Nordeste,Agreste Paraibano,Brejo Paraibano
2500403,Alagoa Nova,ALAGOA NOVA,PB,25,Nordeste,Agreste Paraibano,Brejo Paraibano
2500502,Alagoinha,ALAGOINHA,PB,25,Nordeste,Agreste Paraibano,Guarabira
2600609,Alagoinha,ALAGOINHA,PE,26,Nordeste,Agreste Pernambucano,Vale do Ipojuca
