DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NM_SOCIAL_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;CD_SITUACAO_JULGAMENTO;DS_SITUACAO_JULGAMENTO;CD_SITUACAO_CASSACAO;DS_SITUACAO_CASSACAO;CD_SITUACAO_DCONST_DIPLOMA;DS_SITUACAO_DCONST_DIPLOMA;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;NM_TIPO_DESTINACAO_VOTOS;QT_VOTOS_NOMINAIS_VALIDOS;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82317;OURO;37;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;479;Válido;479;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81094;GALVÃO;49;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;291;Válido;291;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;83313;SÃO JOSÉ DO CERRITO;104;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;1632;Válido;1632;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80624;PASSOS MAIA;63;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;246;Válido;246;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80403;PASSO DE TORRES;54;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;367;Válido;367;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82333;PALHOÇA;24;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;11654;Válido;11654;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80594;CAIBI;41;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;359;Válido;359;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80926;PONTE ALTA DO NORTE;11;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;269;Válido;269;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82937;RIO FORTUNA;44;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;760;Válido;760;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82090;MATOS COSTA;25;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;78;Válido;78;4;NÃO ELEITO
